No,学校名,住所,措置名称,開始日,終了日,学年等
459,札幌市立大谷地小学校,札幌市白石区本通18丁目南1-1,学級閉鎖,2018/02/03(土),2018/02/06(火),1年1組30
460,札幌市立大谷地小学校,札幌市白石区本通18丁目南1-1,学級閉鎖,2018/02/03(土),2018/02/06(火),5年1組37
461,札幌市立青葉小学校,札幌市厚別区青葉町6丁目,学年閉鎖,2018/02/03(土),2018/02/06(火),2年30
462,札幌市立青葉小学校,札幌市厚別区青葉町6丁目,学級閉鎖,2018/02/03(土),2018/02/06(火),4年2組21
463,札幌市立厚別北小学校,札幌市厚別区厚別北2条3丁目3-1,学級閉鎖,2018/02/03(土),2018/02/06(火),1年3組32
464,札幌市立厚別北小学校,札幌市厚別区厚別北2条3丁目3-1,学級閉鎖,2018/02/03(土),2018/02/06(火),2年1組29
465,札幌市立厚別北小学校,札幌市厚別区厚別北2条3丁目3-1,学級閉鎖,2018/02/03(土),2018/02/06(火),2年3組28
466,札幌市立厚別北小学校,札幌市厚別区厚別北2条3丁目3-1,学級閉鎖,2018/02/03(土),2018/02/06(火),2年4組29
467,札幌市立厚別通小学校,札幌市厚別区厚別西4条3丁目10-30,学級閉鎖,2018/02/03(土),2018/02/06(火),3年2組36
468,札幌市立厚別通小学校,札幌市厚別区厚別西4条3丁目10-30,学級閉鎖,2018/02/03(土),2018/02/06(火),6年1組30
469,札幌市立みどり小学校,札幌市豊平区美園5条2丁目2-1,学年閉鎖,2018/02/03(土),2018/02/06(火),1年71
470,札幌市立みどり小学校,札幌市豊平区美園5条2丁目2-1,学級閉鎖,2018/02/03(土),2018/02/06(火),2年1組29
471,札幌市立石山南小学校,札幌市南区石山2条8丁目8-1,学年閉鎖,2018/02/03(土),2018/02/06(火),5年36
472,札幌市立東月寒中学校,札幌市豊平区月寒東3条18丁目1-72,学級閉鎖,2018/02/03(土),2018/02/06(火),1年1組35
473,札幌市立二十四軒小学校,札幌市西区二十四軒二条3丁目1番37号,学級閉鎖,2018/02/03(土),2018/02/06(火),5年1組-
474,札幌市立東白石小学校,札幌市白石区本通14丁目南6-1,学級閉鎖,2018/02/03(土),2018/02/07(水),3年1組35
475,札幌市立新川小学校,札幌市北区新川5条15丁目,学級閉鎖,2018/02/06(火),2018/02/07(水),2年2組28
476,札幌市立平岸高台小学校,札幌市豊平区平岸5条18丁目,学級閉鎖,2018/02/06(火),2018/02/07(水),1年2組17
477,札幌市立福井野小学校,札幌市西区福井6丁目11番1号,学級閉鎖,2018/02/06(火),2018/02/07(水),4年2組25
478,札幌市立伏見中学校,札幌市中央区南16条西17丁目1番35号,学級閉鎖,2018/02/06(火),2018/02/07(水),2年1組37
479,札幌市立常盤中学校,札幌市南区常盤2条2丁目21番1号,学級閉鎖,2018/02/06(火),2018/02/07(水),1年2組24
480,札幌市立幌西小学校,札幌市中央区南10条西17丁目,学級閉鎖,2018/02/06(火),2018/02/08(木),2年1組34
481,札幌市立幌南小学校,札幌市中央区南21条西5丁目,学級閉鎖,2018/02/06(火),2018/02/08(木),1年2組33
482,札幌市立幌南小学校,札幌市中央区南21条西5丁目,学級閉鎖,2018/02/06(火),2018/02/08(木),2年2組30
483,札幌市立幌南小学校,札幌市中央区南21条西5丁目,学級閉鎖,2018/02/06(火),2018/02/08(木),2年3組28
484,札幌市立幌南小学校,札幌市中央区南21条西5丁目,学級閉鎖,2018/02/06(火),2018/02/08(木),6年3組30
485,札幌市立盤渓小学校,札幌市中央区盤渓226番地4,学年閉鎖,2018/02/06(火),2018/02/08(木),6年19
486,札幌市立宮の森小学校,北海道札幌市中央区宮の森4条6丁目1,学級閉鎖,2018/02/06(火),2018/02/08(木),1年2組35
487,札幌市立伏見小学校,札幌市中央区南18条西15丁目1-1,学年閉鎖,2018/02/06(火),2018/02/08(木),4年131
488,札幌市立伏見小学校,札幌市中央区南18条西15丁目1-1,学級閉鎖,2018/02/06(火),2018/02/08(木),3年3組30
489,札幌市立大倉山小学校,札幌市中央区宮の森3条13丁目,学級閉鎖,2018/02/06(火),2018/02/08(木),1年2組28
490,札幌市立大倉山小学校,札幌市中央区宮の森3条13丁目,学級閉鎖,2018/02/06(火),2018/02/08(木),2年1組23
491,札幌市立北九条小学校,札幌市北区北9条西1丁目,学級閉鎖,2018/02/06(火),2018/02/08(木),1年2組35
492,札幌市立新陽小学校,札幌市北区北27条西14丁目,学級閉鎖,2018/02/06(火),2018/02/08(木),5年1組33
493,札幌市立北陽小学校,北海道札幌市北区北31条西9丁目2-1,学級閉鎖,2018/02/06(火),2018/02/08(木),6年1組24
494,札幌市立太平南小学校,札幌市北区太平1条1丁目,学年閉鎖,2018/02/06(火),2018/02/08(木),6年59
495,札幌市立太平南小学校,札幌市北区太平1条1丁目,学級閉鎖,2018/02/06(火),2018/02/08(木),3年2組28
496,札幌市立あいの里東小学校,北海道札幌市北区あいの里三条七丁目,学級閉鎖,2018/02/06(火),2018/02/08(木),2年3組24
497,札幌市立あいの里東小学校,北海道札幌市北区あいの里三条七丁目,学級閉鎖,2018/02/06(火),2018/02/08(木),4年2組36
498,札幌市立北光小学校,北海道札幌市東区北十二条東六丁目,学級閉鎖,2018/02/06(火),2018/02/08(木),1年2組22
499,札幌市立北光小学校,北海道札幌市東区北十二条東六丁目,学級閉鎖,2018/02/06(火),2018/02/08(木),5年2組31
500,札幌市立丘珠小学校,札幌市東区丘珠町593番地3,学年閉鎖,2018/02/06(火),2018/02/08(木),4年44
501,札幌市立丘珠小学校,札幌市東区丘珠町593番地3,学年閉鎖,2018/02/06(火),2018/02/08(木),6年60
502,札幌市立栄小学校,札幌市東区北42条東10丁目,学級閉鎖,2018/02/06(火),2018/02/08(木),1年1組32
503,札幌市立栄緑小学校,札幌市東区北51条東10丁目,学年閉鎖,2018/02/06(火),2018/02/08(木),5年39
504,札幌市立栄緑小学校,札幌市東区北51条東10丁目,学級閉鎖,2018/02/06(火),2018/02/08(木),2年1組23
505,札幌市立栄緑小学校,札幌市東区北51条東10丁目,学級閉鎖,2018/02/06(火),2018/02/08(木),4年2組29
506,札幌市立東橋小学校,北海道札幌市白石区菊水8条1丁目,学級閉鎖,2018/02/06(火),2018/02/08(木),3年2組25
507,札幌市立東橋小学校,北海道札幌市白石区菊水8条1丁目,学級閉鎖,2018/02/06(火),2018/02/08(木),5年1組20
508,札幌市立白石小学校,札幌市白石区本通1丁目北4番1号,学年閉鎖,2018/02/06(火),2018/02/08(木),2年83
509,札幌市立東札幌小学校,北海道札幌市白石区東札幌4条5丁目4-20,学級閉鎖,2018/02/06(火),2018/02/08(木),1年2組28
510,札幌市立東白石小学校,札幌市白石区本通14丁目南6-1,学級閉鎖,2018/02/06(火),2018/02/08(木),1年1組31
511,札幌市立東白石小学校,札幌市白石区本通14丁目南6-1,学級閉鎖,2018/02/06(火),2018/02/08(木),2年1組30
512,札幌市立南白石小学校,北海道札幌市白石区南郷通2丁目南6-35,学年閉鎖,2018/02/06(火),2018/02/08(木),1年32
513,札幌市立菊水小学校,北海道札幌市白石区菊水元町2条3丁目2-14,学級閉鎖,2018/02/06(火),2018/02/08(木),2年2組34
514,札幌市立川北小学校,札幌市白石区川北4条2丁目,学級閉鎖,2018/02/06(火),2018/02/08(木),4年1組36
515,札幌市立東川下小学校,北海道札幌市白石区川下四条3丁目1番1号,学年閉鎖,2018/02/06(火),2018/02/08(木),1年48
516,札幌市立小野幌小学校,北海道札幌市厚別区厚別東2条4丁目5番1号,学級閉鎖,2018/02/06(火),2018/02/08(木),1年3組29
517,札幌市立小野幌小学校,北海道札幌市厚別区厚別東2条4丁目5番1号,学級閉鎖,2018/02/06(火),2018/02/08(木),3年2組33
518,札幌市立小野幌小学校,北海道札幌市厚別区厚別東2条4丁目5番1号,学級閉鎖,2018/02/06(火),2018/02/08(木),6年3組31
519,札幌市立共栄小学校,北海道札幌市厚別区厚別南2丁目21-22,学級閉鎖,2018/02/06(火),2018/02/08(木),1年2組34
520,札幌市立共栄小学校,北海道札幌市厚別区厚別南2丁目21-22,学級閉鎖,2018/02/06(火),2018/02/08(木),2年2組32
521,札幌市立共栄小学校,北海道札幌市厚別区厚別南2丁目21-22,学級閉鎖,2018/02/06(火),2018/02/08(木),5年3組30
522,札幌市立厚別通小学校,札幌市厚別区厚別西4条3丁目10-30,学級閉鎖,2018/02/06(火),2018/02/08(木),4年2組41
523,札幌市立上野幌東小学校,札幌市厚別区上野幌2条4丁目,学級閉鎖,2018/02/06(火),2018/02/08(木),2年1組28
524,札幌市立月寒小学校,札幌市豊平区月寒西2条5丁目1-1,学級閉鎖,2018/02/06(火),2018/02/08(木),2年1組31
525,札幌市立美園小学校,北海道札幌市豊平区平岸5条7丁目2-21,学級閉鎖,2018/02/06(火),2018/02/08(木),3年1組28
526,札幌市立美園小学校,北海道札幌市豊平区平岸5条7丁目2-21,学級閉鎖,2018/02/06(火),2018/02/08(木),5年1組37
527,札幌市立豊園小学校,北海道札幌市豊平区美園1条4丁目1番1号,学級閉鎖,2018/02/06(火),2018/02/08(木),3年1組36
528,札幌市立羊丘小学校,札幌市豊平区月寒東1条16丁目,学級閉鎖,2018/02/06(火),2018/02/08(木),3年1組30
529,札幌市立藻岩小学校,札幌市南区川沿7条2丁目,学級閉鎖,2018/02/06(火),2018/02/08(木),3年1組26
530,札幌市立石山小学校,北海道札幌市南区石山一条四丁目,学年閉鎖,2018/02/06(火),2018/02/08(木),2年33
531,札幌市立石山小学校,北海道札幌市南区石山一条四丁目,学年閉鎖,2018/02/06(火),2018/02/08(木),3年31
532,札幌市立真駒内桜山小学校,北海道札幌市南区真駒内泉町3丁目13-1,学級閉鎖,2018/02/06(火),2018/02/08(木),1年2組36
533,札幌市立手稲東小学校,札幌市西区西野4条3丁目7番1号,学級閉鎖,2018/02/06(火),2018/02/08(木),4年3組32
534,札幌市立手稲宮丘小学校,札幌市西区宮の沢3条2丁目1-1,学級閉鎖,2018/02/06(火),2018/02/08(木),4年3組35
535,札幌市立発寒西小学校,北海道札幌市西区発寒五条七丁目1-2,学級閉鎖,2018/02/06(火),2018/02/08(木),2年2組34
536,札幌市立二十四軒小学校,札幌市西区二十四軒二条3丁目1番37号,学級閉鎖,2018/02/06(火),2018/02/08(木),6年1組30
537,札幌市立発寒南小学校,北海道札幌市西区発寒2条4丁目1番1号,学級閉鎖,2018/02/06(火),2018/02/08(木),2年2組28
538,札幌市立山の手南小学校,北海道札幌市西区山の手一条9丁目,学級閉鎖,2018/02/06(火),2018/02/08(木),2年3組27
539,札幌市立山の手南小学校,北海道札幌市西区山の手一条9丁目,学級閉鎖,2018/02/06(火),2018/02/08(木),6年1組26
540,札幌市立手稲中央小学校,札幌市手稲区手稲本町3条2丁目6番1号,学級閉鎖,2018/02/06(火),2018/02/08(木),知的障がい学級1組3
541,札幌市立手稲中央小学校,札幌市手稲区手稲本町3条2丁目6番1号,学級閉鎖,2018/02/06(火),2018/02/08(木),自閉症・情緒障がい学10
542,札幌市立手稲中央小学校,札幌市手稲区手稲本町3条2丁目6番1号,学級閉鎖,2018/02/06(火),2018/02/08(木),自閉症・情緒障がい学8
543,札幌市立手稲北小学校,北海道札幌市手稲区手稲山口653の2,学級閉鎖,2018/02/06(火),2018/02/08(木),1年1組22
544,札幌市立手稲鉄北小学校,札幌市手稲区前田2条12丁目,学級閉鎖,2018/02/06(火),2018/02/08(木),1年2組34
545,札幌市立手稲鉄北小学校,札幌市手稲区前田2条12丁目,学級閉鎖,2018/02/06(火),2018/02/08(木),4年3組32
546,札幌市立手稲山口小学校,札幌市手稲区曙11条2丁目7番1号,学級閉鎖,2018/02/06(火),2018/02/08(木),3年4組31
547,札幌市立手稲山口小学校,札幌市手稲区曙11条2丁目7番1号,学級閉鎖,2018/02/06(火),2018/02/08(木),4年1組39
548,札幌市立手稲山口小学校,札幌市手稲区曙11条2丁目7番1号,学級閉鎖,2018/02/06(火),2018/02/08(木),4年2組39
549,札幌市立手稲山口小学校,札幌市手稲区曙11条2丁目7番1号,学級閉鎖,2018/02/06(火),2018/02/08(木),4年3組39
550,札幌市立手稲山口小学校,札幌市手稲区曙11条2丁目7番1号,学級閉鎖,2018/02/06(火),2018/02/08(木),6年4組33
551,札幌市立稲穂小学校,札幌市手稲区稲穂4条5丁目12番5号,学級閉鎖,2018/02/06(火),2018/02/08(木),1年2組28
552,札幌市立稲穂小学校,札幌市手稲区稲穂4条5丁目12番5号,学級閉鎖,2018/02/06(火),2018/02/08(木),3年3組29
553,札幌市立前田中央小学校,北海道札幌市手稲区前田8条12丁目2-1,学年閉鎖,2018/02/06(火),2018/02/08(木),3年65
554,札幌市立稲積小学校,札幌市手稲区前田5条7丁目,学級閉鎖,2018/02/06(火),2018/02/08(木),2年1組21
555,札幌市立中島中学校,札幌市中央区南12条西7丁目2-1,学級閉鎖,2018/02/06(火),2018/02/08(木),知的障がい学級14
556,札幌市立中島中学校,札幌市中央区南12条西7丁目2-1,学級閉鎖,2018/02/06(火),2018/02/08(木),自閉症・情緒障がい学4
557,札幌市立宮の森中学校,札幌市中央区宮の森1条16丁目5-1,学級閉鎖,2018/02/06(火),2018/02/08(木),2年2組36
558,札幌市立新琴似中学校,北海道札幌市北区新琴似7条4丁目1番1号,学級閉鎖,2018/02/06(火),2018/02/08(木),2年4組34
559,札幌市立北陽中学校,札幌市北区北34条西7丁目3番1号,学級閉鎖,2018/02/06(火),2018/02/08(木),3年2組35
560,札幌市立札幌中学校,札幌市東区伏古8条1丁目1番28号,学級閉鎖,2018/02/06(火),2018/02/08(木),2年2組34
561,札幌市立札幌中学校,札幌市東区伏古8条1丁目1番28号,学級閉鎖,2018/02/06(火),2018/02/08(木),3年5組37
562,札幌市立東栄中学校,札幌市東区本町1条7丁目2番7号,学級閉鎖,2018/02/06(火),2018/02/08(木),1年4組33
563,札幌市立栄町中学校,北海道札幌市東区北36条東14丁目1番1号,学年閉鎖,2018/02/06(火),2018/02/08(木),2年142
564,札幌市立柏丘中学校,札幌市白石区平和通8丁目北3番1号,学級閉鎖,2018/02/06(火),2018/02/08(木),2年3組39
565,札幌市立もみじ台中学校,札幌市厚別区もみじ台西1丁目,学年閉鎖,2018/02/06(火),2018/02/08(木),1年66
566,札幌市立もみじ台中学校,札幌市厚別区もみじ台西1丁目,学級閉鎖,2018/02/06(火),2018/02/08(木),2年2組29
567,札幌市立もみじ台中学校,札幌市厚別区もみじ台西1丁目,学級閉鎖,2018/02/06(火),2018/02/08(木),2年3組28
568,札幌市立もみじ台中学校,札幌市厚別区もみじ台西1丁目,学級閉鎖,2018/02/06(火),2018/02/08(木),3年1組31
569,札幌市立厚別北中学校,札幌市厚別区厚別町小野幌774番地5,学級閉鎖,2018/02/06(火),2018/02/08(木),1年3組33
570,札幌市立北野中学校,札幌市清田区北野2条3丁目7-30,学級閉鎖,2018/02/06(火),2018/02/08(木),2年2組34
571,札幌市立藻岩中学校,札幌市南区川沿7条3丁目4番1号,学級閉鎖,2018/02/06(火),2018/02/08(木),3年3組33
572,札幌市立八軒中学校,北海道札幌市西区八軒8条西8丁目1番1号,学級閉鎖,2018/02/06(火),2018/02/08(木),1年2組33
573,札幌市立八軒中学校,北海道札幌市西区八軒8条西8丁目1番1号,学級閉鎖,2018/02/06(火),2018/02/08(木),1年4組33
574,札幌市立西陵中学校,北海道札幌市西区発寒15条2丁目5-1,学級閉鎖,2018/02/06(火),2018/02/08(木),1年3組32
575,札幌市立西陵中学校,北海道札幌市西区発寒15条2丁目5-1,学級閉鎖,2018/02/06(火),2018/02/08(木),2年4組37
576,札幌市立西野中学校,北海道札幌市西区西野8条7丁目5番1号,学級閉鎖,2018/02/06(火),2018/02/08(木),1年4組31
577,札幌市立宮の丘中学校,札幌市西区西野3条10丁目9番1号,学級閉鎖,2018/02/06(火),2018/02/08(木),1年3組34
578,札幌市立手稲中学校,札幌市手稲区富丘3条5丁目,学級閉鎖,2018/02/06(火),2018/02/08(木),1年2組30
579,札幌市立手稲中学校,札幌市手稲区富丘3条5丁目,学級閉鎖,2018/02/06(火),2018/02/08(木),1年3組30
580,札幌市立手稲中学校,札幌市手稲区富丘3条5丁目,学級閉鎖,2018/02/06(火),2018/02/08(木),1年4組30
581,札幌市立手稲中学校,札幌市手稲区富丘3条5丁目,学級閉鎖,2018/02/06(火),2018/02/08(木),2年2組39
582,札幌市立稲陵中学校,札幌市手稲区曙7条2丁目6-50,学級閉鎖,2018/02/06(火),2018/02/08(木),3年3組32
583,札幌市立稲穂中学校,札幌市手稲区稲穂4条2丁目18-10,学年閉鎖,2018/02/06(火),2018/02/08(木),3年122
584,札幌市立星置東小学校,札幌市手稲区星置2条1丁目6-1,学級閉鎖,2018/02/06(火),2018/02/08(木),1年2組30
585,札幌市立星置東小学校,札幌市手稲区星置2条1丁目6-1,学級閉鎖,2018/02/06(火),2018/02/08(木),3年2組34
586,札幌市立伏古小学校,北海道札幌市東区伏古8条5丁目2-1,学級閉鎖,2018/02/07(水),2018/02/08(木),6年2組30
587,札幌市立北都中学校,札幌市白石区川下749番地56,学級閉鎖,2018/02/07(水),2018/02/08(木),2年4組37
588,北海道札幌藻岩高等学校,札幌市南区川沿3条2丁目1-1,学級閉鎖,2018/02/07(水),2018/02/08(木),2年1組39
